package	hardware	backend	variant	dataset	n_voxels	n_timepoints	kind	n_iter	seed	wall_seconds	internal_fit_seconds	job_id	hostname	timestamp
braincoder	a100	tensorflow	full	largegrid	49000	200	synthetic	default	2	67	57.57	3193583	u24-chaiam0-613	2026-05-20T03:27:45+02:00
braincoder	a100	tensorflow	full	largegrid	49000	200	synthetic	default	3	63	55.0	3193584	u24-chaiam0-613	2026-05-20T03:29:12+02:00
braincoder	a100	tensorflow	grid	largegrid	49000	200	synthetic	default	1	224	210.59	3193555	u24-chaiam0-614	2026-05-19T12:45:40+02:00
braincoder	a100	tensorflow	grid	largegrid	49000	200	synthetic	default	2	243	229.11	3193556	u24-chaiam0-614	2026-05-19T12:50:04+02:00
braincoder	a100	tensorflow	grid	largegrid	49000	200	synthetic	default	3	188	175.88	3193557	u24-chaiam0-614	2026-05-19T12:49:39+02:00
braincoder	a100	tensorflow	hrf	largegrid	49000	200	synthetic	default	1	320	306.99	3193558	u24-chaiam0-614	2026-05-19T12:55:25+02:00
braincoder	a100	tensorflow	hrf	largegrid	49000	200	synthetic	default	2	316	302.88	3193559	u24-chaiam0-614	2026-05-19T12:55:21+02:00
braincoder	a100	tensorflow	hrf	largegrid	49000	200	synthetic	default	3	313	299.96	3193560	u24-chaiam0-614	2026-05-19T13:00:55+02:00
braincoder	cpu16	tensorflow	grid	largegrid	49000	200	synthetic	default	1	469	457.79	3122927	u24-cva0000-205	2026-05-18T14:24:23+02:00
braincoder	cpu16	tensorflow	grid	largegrid	49000	200	synthetic	default	2	243	223.16	3122928	u24-cva0000-309	2026-05-18T14:20:39+02:00
braincoder	cpu16	tensorflow	grid	largegrid	49000	200	synthetic	default	3	530	522.64	3122929	u24-chaihm0-634	2026-05-18T14:25:24+02:00
braincoder	cpu16	tensorflow	hrf	largegrid	49000	200	synthetic	default	1	7001	6994.82	3122930	u24-chaihm0-636	2026-05-18T16:13:15+02:00
braincoder	cpu16	tensorflow	hrf	largegrid	49000	200	synthetic	default	2	5100	5091.09	3122931	u24-chi0000-401	2026-05-18T15:41:34+02:00
braincoder	cpu16	tensorflow	hrf	largegrid	49000	200	synthetic	default	3	8015	7997.49	3122932	u24-chiihm0-622	2026-05-18T16:30:10+02:00
braincoder	cpu32	tensorflow	grid	largegrid	49000	200	synthetic	default	1	347	328.68	3193542	u24-chaihm0-652	2026-05-19T10:58:35+02:00
braincoder	cpu32	tensorflow	grid	largegrid	49000	200	synthetic	default	1	446	424.3	3122933	u24-chaihm0-651	2026-05-18T14:24:01+02:00
braincoder	cpu32	tensorflow	grid	largegrid	49000	200	synthetic	default	2	325	300.02	3193543	u24-cva0000-201	2026-05-19T10:58:46+02:00
braincoder	cpu32	tensorflow	grid	largegrid	49000	200	synthetic	default	2	446	425.77	3122934	u24-chaihm0-651	2026-05-18T14:24:01+02:00
